icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
44028c,,Austria,1762931802,1762931802,6.9026,47.9165,10668,False,243.89,112.18,0,,10919.46,,False,0
440251,CHG2286 ,Austria,1762931652,1762931652,6.5999,50.2122,5257.8,False,203.29,291.37,-15.61,,5372.1,3207,False,0
3c5ee1,EWG12Y  ,Germany,1762931721,1762931721,9.4519,49.0276,5600.7,False,183.7,1.28,15.93,,5745.48,5010,False,0
471f6f,WZZ46BA ,Hungary,1762931751,1762931751,6.1463,51.4095,10972.8,False,193.44,287.81,0,,11109.96,3123,False,0
3c4d4a,KLM76K  ,Germany,1762931783,1762931783,8.3618,51.4199,9753.6,False,217.26,313.37,0.33,,9906,4146,False,0
407b55,WUK8484 ,United Kingdom,1762931607,1762931607,6.7023,50.1979,10378.44,False,207.96,300.31,0.33,,10530.84,3263,False,0
8960ad,ROJ001  ,United Arab Emirates,1762931777,1762931777,7.4714,49.2666,10668,False,252.08,126.87,0,,10820.4,5267,False,0
4068f0,LNX23JG ,United Kingdom,1762931803,1762931803,7.1467,48.0487,11277.6,False,245.36,138.83,0,,11422.38,0524,False,0
738050,ELY326  ,Israel,1762931863,1762931863,9.2868,47.0777,10668,False,240.7,121.72,0,,10820.4,7550,False,0
800582,AIC191  ,India,1762931801,1762931801,7.1931,52.464,10363.2,False,223.02,290.53,0,,10485.12,3226,False,0
440037,EJU84LM ,Austria,1762931713,1762931713,8.1177,47.2281,10965.18,False,213.23,280.14,0,,11109.96,,False,0
45214b,CGF1809 ,Bulgaria,1762931642,1762931642,7.1481,50.8627,,True,11.83,317.81,,,,,False,0
896407,ETD89G  ,United Arab Emirates,1762931780,1762931780,6.852,50.5541,12192,False,224.6,291.22,0,,12306.3,3236,False,0
8005ef,AIC156D ,India,1762931793,1762931795,8.4503,51.7599,11666.22,False,281.92,115.16,2.28,,11727.18,0167,False,0
896357,ETD945  ,United Arab Emirates,1762931856,1762931856,10.3511,50.3106,5989.32,False,204.94,259.73,-12.68,,6141.72,1000,False,0
44ce61,BEL3TX  ,Belgium,1762931642,1762931642,7.5912,52.9334,10233.66,False,235.98,49.15,-9.1,,10325.1,7152,False,0
3c48e8,LHX8XV  ,Germany,1762931782,1762931782,8.1101,51.73,5699.76,False,196.74,154.44,13.66,,5798.82,1272,False,0
4d00ca,LGL361G ,Luxembourg,1762931604,1762931604,6.1356,49.599,1623.06,False,90.17,239.48,14.31,,1676.4,,False,0
894098,GFA005  ,Bahrain,1762931783,1762931783,9.4099,49.9106,11574.78,False,223.16,292.07,0,,11734.8,0624,False,0
04014c,ETH700  ,Ethiopia,1762931619,1762931620,6.0322,50.2994,12192,False,222.74,303.03,0,,12321.54,7543,False,0
486494,KLM29T  ,Kingdom of the Netherlands,1762931751,1762931751,7.2806,51.2014,9936.48,False,248.65,130.05,3.58,,10050.78,1000,False,0
3c70b0,BCS1LG  ,Germany,1762931826,1762931826,6.7056,50.7048,11582.4,False,232.79,57.82,0,,11666.22,1000,False,0
502d43,SWR7GD  ,Latvia,1762931618,1762931619,8.5595,47.4593,388.62,True,0,196.88,,,,1000,False,0
49d2b7,TVS2BC  ,Czech Republic,1762931780,1762931780,7.3923,46.4997,10972.8,False,223.92,58.72,0,,11132.82,1166,False,0
06a2f7,QTR76K  ,Qatar,1762931813,1762931813,9.1282,50.736,11277.6,False,279.31,116,-0.33,,11384.28,3441,False,0
899125,CAL073  ,Taiwan,1762931802,1762931802,7.7469,52.005,11910.06,False,224.4,291.8,-14.63,,12001.5,,False,0
3f7b3c,GAF635  ,Germany,1762931771,1762931771,7.5207,50.8155,13106.4,False,252.24,58.94,-0.33,,13159.74,3343,False,0
4ca1b3,ABR142  ,Ireland,1762931863,1762931863,8.9074,47.502,12192,False,211.48,349.35,0,,12306.3,2772,False,0
407fea,WUK3ED  ,United Kingdom,1762931783,1762931783,7.161,51.8051,10058.4,False,257.35,97.47,0,,10226.04,4706,False,0
407e7b,TOM789  ,United Kingdom,1762931813,1762931813,7.2518,49.7677,10363.2,False,203.33,304.17,0,,10523.22,2443,False,0
440732,EJU12GA ,Austria,1762931741,1762931741,9.5445,49.0662,6141.72,False,200.74,339.29,-4.88,,6339.84,1000,False,0
45cf24,SRR6402 ,Denmark,1762931801,1762931801,9.2249,46.9441,9387.84,False,229.48,165.06,-9.43,,9593.58,0132,False,0
45ce57,SRR6497 ,Denmark,1762931707,1762931707,8.5971,49.27,12192,False,206.34,344.23,-0.33,,12252.96,7515,False,0
45ce56,SRR6401 ,Denmark,1762931793,1762931795,9.5452,46.1485,7764.78,False,229.04,358.2,11.05,,7955.28,0422,False,0
45ce47,SRR6566 ,Denmark,1762931581,1762931581,6.9399,50.7849,4884.42,False,172.56,283.62,16.91,,4983.48,4113,False,0
46b8b0,AEE605  ,Greece,1762931717,1762931717,7.5772,49.7062,11277.6,False,248.1,120.39,0,,11391.9,0502,False,0
06a145,QTR71W  ,Qatar,1762931581,1762931582,7.4766,50.4556,12192,False,218.14,290.57,0,,12306.3,3274,False,0
06a0e8,QTR45J  ,Qatar,1762931790,1762931790,9.7706,49.8731,12192,False,218.01,292.33,0,,12291.06,3242,False,0
3d602e,DFIRE   ,Germany,1762931717,1762931717,9.3558,50.7999,7924.8,False,127.43,330.23,0,,8061.96,,False,0
4b1800,SWR2FA  ,Switzerland,1762931801,1762931801,8.5574,47.4575,388.62,False,53.29,276.1,-0.33,,480.06,1000,False,0
4b181c,SWR1GT  ,Switzerland,1762931721,1762931721,8.4573,47.4477,1851.66,False,85.5,195.71,15.28,,1943.1,1000,False,0
4952c1,TAP556  ,Portugal,1762931863,1762931863,10.454,47.726,6690.36,False,224.03,72.36,-10.4,,6865.62,1000,False,0
3c666e,DLH22J  ,Germany,1762931751,1762931751,8.1975,48.3895,9745.98,False,210.19,278.59,0,,9906,1000,False,0
3c6742,DLH4RX  ,Germany,1762931619,1762931619,10.3339,53.1611,5128.26,False,187.4,182.2,9.75,,5212.08,1353,False,0
3c6758,DLH8EU  ,Germany,1762931787,1762931787,8.3824,49.0138,6918.96,False,233.11,187.74,7.48,,7086.6,1000,False,0
4b5da2,TE21    ,Switzerland,1762931720,1762931720,8.5575,47.4517,,True,0.39,160.31,,,,,False,0
3c656c,DLH631  ,Germany,1762931649,1762931649,8.5715,50.0474,,True,0,118.12,,,,3217,False,0
3c6570,DLH595  ,Germany,1762931791,1762931791,8.0755,47.0179,11582.4,False,238.35,26.95,0,,11795.76,1000,False,0
3c64b1,DLH08Y  ,Germany,1762931622,1762931622,6.5862,48.6321,8534.4,False,216.01,13.08,0,,8778.24,1000,False,0
3c64f6,DLH560  ,Germany,1762931780,1762931780,8.526,49.9992,144.78,False,83.35,180.71,4.55,,205.74,,False,0
3c6655,DLH1TN  ,Germany,1762931741,1762931741,10.0371,53.1336,4930.14,False,181.46,12.78,-6.83,,5021.58,5035,False,0
3c6446,DLH073  ,Germany,1762931801,1762931801,7.255,50.9209,5791.2,False,185.81,121.18,0.33,,5928.36,1000,False,0
4b161b,,Switzerland,1762931751,1762931751,8.5602,47.4462,,True,0,244.69,,,,,False,0
4b0295,SWR3PD  ,Switzerland,1762931803,1762931803,8.4275,47.0447,5791.2,False,205.03,176.98,-0.33,,5951.22,1000,False,0
4b5d71,VIKTOR38,Switzerland,1762931619,1762931619,8.5593,47.4609,,True,2.06,140.62,,,,,False,0
440d91,TAY3BB  ,Austria,1762931621,1762931621,7.4618,47.6867,693.42,False,83.32,155.18,-4.88,,777.24,,False,0
440bcf,BCS7332 ,Austria,1762931741,1762931741,6.9247,47.1841,9448.8,False,237.92,134.3,-0.65,,9685.02,1000,False,0
